2025-10-04 at 11:24:28 | INFO | Бот успешно запущен
2025-10-04 at 11:24:39 | INFO | Бот остановлен!
2025-10-04 at 11:26:08 | INFO | Бот успешно запущен
2025-10-04 at 11:38:32 | INFO | Бот остановлен!
2025-10-04 at 11:38:38 | INFO | Бот успешно запущен
2025-10-05 at 10:51:56 | INFO | Бот успешно запущен
2025-10-05 at 10:52:17 | INFO | Бот остановлен!
2025-10-05 at 10:55:10 | INFO | Бот успешно запущен
2025-10-05 at 11:09:26 | INFO | Бот остановлен!
2025-10-05 at 11:09:30 | INFO | Бот успешно запущен
2025-10-05 at 11:09:30 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:09:30 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:09:38 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:09:38 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:09:42 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:09:42 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:10:10 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:10:10 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:11:15 | INFO | Бот остановлен!
2025-10-05 at 11:11:19 | INFO | Бот успешно запущен
2025-10-05 at 11:11:24 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:11:24 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:11:28 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:11:28 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-10-05 at 11:11:34 | INFO | Бот остановлен!
2025-10-08 at 11:59:58 | INFO | Бот успешно запущен
